Pior da 5ª execução,223.23000000000016
Melhor da 5ª execução,215.57000000000014
Média da 5ª execução,218.24250000000018
Desvio padrão da 5ª execução,1.5559108784297888
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,11
Melhor individuo da 5ª execução,"[215.57000000000014, [1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0], [2, 28, 4, 65, 8, 16, 47, 33, 40, 32, 44, 53, 30, 21, 17, 24, 70, 56, 38, 78, 42, 71, 22, 11, 31, 10, 62, 26, 25, 13, 45, 54, 1, 34, 61, 36, 59, 69, 29, 64, 23, 49, 37, 35, 12, 73, 39, 20, 43, 14, 51, 41, 68, 50, 15, 74, 66, 3, 7, 76, 75, 19, 72, 46, 18, 6, 27, 55, 60, 57, 77, 58, 48, 52, 67, 5, 9, 63], 7]"
Tempo de execução,619.2
