Pior da 4ª execução,103.42500000000003
Melhor da 4ª execução,102.05999999999995
Média da 4ª execução,102.53999999999999
Desvio padrão da 4ª execução,0.37246834317384275
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,5
Melhor individuo da 4ª execução,"[102.05999999999995, [0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1], [109, 170, 27, 40, 127, 88, 91, 133, 139, 25, 135, 48, 59, 66, 102, 134, 97, 33, 105, 159, 100, 116, 65, 164, 17, 22, 41, 61, 144, 54, 125, 38, 113, 12, 5, 142, 165, 153, 95, 16, 21, 60, 108, 70, 140, 69, 14, 173, 11, 13, 15, 26, 79, 93, 169, 110, 130, 89, 107, 85, 96, 145, 28, 114, 29, 129, 55, 31, 99, 34, 77, 101, 6, 64, 124, 172, 10, 45, 121, 160, 163, 1, 117, 24, 80, 122, 146, 155, 103, 141, 37, 42, 118, 68, 143, 86, 62, 47, 76, 73, 84, 36, 106, 53, 131, 90, 46, 87, 128, 32, 148, 112, 18, 167, 126, 120, 75, 158, 50, 49, 168, 115, 94, 9, 162, 138, 19, 83, 150, 156, 43, 82, 161, 20, 152, 39, 72, 71, 51, 147, 58, 7, 4, 123, 74, 30, 132, 2, 81, 137, 157, 111, 63, 136, 56, 23, 8, 92, 52, 149, 119, 151, 3, 98, 171, 67, 35, 154, 44, 166, 57, 104, 78], 3]"
Tempo de execução,7364.63
