Pior da 2ª execução,72.20249999999999
Melhor da 2ª execução,70.53500000000001
Média da 2ª execução,71.13625
Desvio padrão da 2ª execução,0.3072896291451269
Quantidade de temporadas,2
Quantidade de time,10
Jogador por time,11
Melhor individuo da 2ª execução,"[70.53500000000001, [0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0], [34, 21, 6, 22, 2, 11, 15, 25, 3, 8, 24, 14, 31, 23, 35, 33, 16, 4, 13, 26, 20, 10, 9, 17, 7, 37, 19, 36, 5, 12, 28, 1, 38, 18, 27, 30, 29, 32], 3]"
Tempo de execução,208.84
