Pior da 5ª execução,71.73499999999999
Melhor da 5ª execução,70.525
Média da 5ª execução,71.15
Desvio padrão da 5ª execução,0.2782024101351457
Quantidade de temporadas,2
Quantidade de time,10
Jogador por time,11
Melhor individuo da 5ª execução,"[70.525, [0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0], [3, 8, 25, 15, 34, 24, 4, 14, 31, 6, 22, 28, 23, 1, 20, 26, 33, 35, 21, 11, 2, 12, 19, 36, 5, 37, 10, 7, 17, 9, 29, 27, 18, 13, 38, 16, 30, 32], 2]"
Tempo de execução,205.24
