Pior da 3ª execução,484.9800000000007
Melhor da 3ª execução,493.56250000000057
Média da 3ª execução,488.33500000000066
Desvio padrão da 3ª execução,1.6533268267222794
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,11
Melhor individuo da 3ª execução,"[484.9800000000007, [1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0], [102, 16, 62, 25, 97, 52, 8, 24, 84, 14, 17, 95, 80, 37, 43, 22, 38, 75, 82, 54, 100, 85, 48, 63, 86, 39, 91, 34, 40, 3, 44, 18, 9, 13, 51, 36, 104, 19, 1, 66, 6, 60, 57, 55, 20, 31, 50, 81, 35, 70, 72, 47, 67, 26, 90, 83, 58, 11, 107, 79, 99, 10, 23, 49, 7, 12, 74, 68, 76, 33, 93, 65, 4, 56, 96, 89, 105, 106, 27, 78, 42, 21, 5, 88, 61, 46, 103, 53, 77, 28, 29, 41, 108, 59, 2, 32, 69, 71, 87, 15, 98, 30, 45, 94, 92, 73, 101, 64], 7]"
Tempo de execução,2142.35
