Pior da 6ª execução,491.79500000000047
Melhor da 6ª execução,484.69500000000085
Média da 6ª execução,487.7050000000006
Desvio padrão da 6ª execução,1.5374124691078253
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,11
Melhor individuo da 6ª execução,"[484.69500000000085, [0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0], [96, 56, 4, 65, 93, 33, 89, 105, 106, 27, 73, 92, 94, 45, 64, 101, 11, 26, 90, 83, 58, 36, 6, 66, 1, 19, 104, 47, 72, 67, 87, 71, 69, 32, 2, 59, 108, 41, 18, 51, 13, 9, 76, 7, 12, 74, 68, 62, 16, 102, 25, 70, 50, 81, 35, 60, 31, 20, 55, 57, 24, 8, 52, 97, 14, 84, 91, 34, 86, 39, 42, 78, 103, 46, 61, 88, 5, 21, 48, 85, 100, 54, 82, 75, 38, 63, 40, 3, 44, 95, 80, 37, 43, 22, 17, 49, 107, 79, 99, 10, 23, 98, 15, 30, 53, 77, 28, 29], 3]"
Tempo de execução,2151.35
