Pior da 10ª execução,484.1950000000007
Melhor da 10ª execução,491.58250000000055
Média da 10ª execução,487.8025000000005
Desvio padrão da 10ª execução,1.7794457863046145
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,11
Melhor individuo da 10ª execução,"[484.1950000000007, [1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1], [73, 101, 64, 45, 94, 92, 30, 15, 98, 13, 51, 18, 9, 72, 47, 67, 8, 24, 84, 14, 97, 52, 79, 99, 10, 23, 49, 107, 59, 108, 41, 87, 71, 69, 32, 2, 20, 31, 60, 57, 55, 50, 70, 35, 81, 96, 33, 93, 65, 4, 56, 54, 82, 75, 38, 63, 48, 85, 100, 16, 62, 25, 102, 89, 105, 106, 27, 90, 83, 58, 11, 26, 40, 44, 3, 6, 66, 1, 19, 104, 36, 77, 53, 29, 28, 34, 91, 39, 86, 42, 78, 103, 46, 61, 88, 5, 21, 74, 12, 7, 76, 68, 80, 95, 17, 22, 43, 37], 7]"
Tempo de execução,2162.94
