Pior da 4ª execução,104.37249999999999
Melhor da 4ª execução,101.69999999999997
Média da 4ª execução,102.69000000000003
Desvio padrão da 4ª execução,0.519781329475558
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,11
Melhor individuo da 4ª execução,"[101.69999999999997, [1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1], [81, 171, 98, 3, 151, 119, 149, 52, 137, 92, 8, 23, 56, 136, 63, 111, 157, 20, 161, 82, 43, 156, 150, 39, 152, 72, 7, 58, 147, 51, 71, 99, 31, 55, 129, 29, 114, 28, 145, 96, 163, 89, 110, 169, 10, 45, 121, 160, 85, 107, 77, 34, 101, 6, 64, 124, 172, 130, 123, 74, 30, 132, 2, 4, 116, 65, 125, 164, 17, 22, 41, 61, 144, 54, 159, 105, 33, 97, 134, 102, 66, 59, 48, 135, 25, 9, 83, 19, 100, 138, 162, 94, 115, 168, 49, 50, 158, 75, 120, 170, 27, 155, 103, 141, 37, 109, 139, 133, 91, 88, 127, 40, 60, 153, 21, 16, 95, 14, 69, 140, 70, 108, 173, 86, 143, 11, 13, 15, 26, 79, 93, 68, 118, 42, 36, 84, 73, 76, 47, 62, 38, 113, 12, 5, 142, 165, 80, 122, 146, 1, 117, 24, 154, 44, 166, 57, 104, 78, 67, 35, 87, 106, 53, 131, 90, 46, 128, 32, 148, 112, 18, 167, 126], 7]"
Tempo de execução,16612.07
