Pior da 3ª execução,104.90000000000003
Melhor da 3ª execução,107.05249999999995
Média da 3ª execução,106.17999999999999
Desvio padrão da 3ª execução,0.4439946176911622
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,11
Melhor individuo da 3ª execução,"[104.90000000000003, [1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1], [128, 36, 19, 15, 55, 2, 79, 20, 125, 143, 96, 156, 127, 89, 100, 146, 74, 105, 25, 65, 66, 42, 39, 10, 71, 24, 73, 138, 112, 40, 118, 157, 153, 94, 58, 44, 148, 158, 76, 122, 142, 123, 33, 61, 70, 155, 159, 99, 9, 4, 110, 135, 161, 57, 91, 60, 117, 108, 132, 34, 32, 93, 52, 115, 23, 101, 35, 13, 121, 104, 77, 133, 7, 45, 8, 109, 151, 3, 16, 14, 137, 26, 72, 111, 141, 47, 114, 81, 162, 54, 116, 48, 67, 130, 28, 62, 49, 92, 56, 5, 164, 131, 59, 51, 147, 129, 90, 126, 69, 64, 87, 119, 83, 95, 21, 31, 88, 82, 30, 1, 160, 63, 43, 102, 27, 85, 12, 80, 134, 17, 120, 6, 139, 152, 50, 149, 68, 84, 103, 154, 98, 144, 18, 22, 86, 37, 38, 53, 124, 113, 97, 145, 46, 106, 78, 150, 75, 41, 11, 163, 140, 29, 136, 107], 7]"
Tempo de execução,12272.4
