Pior da 4ª execução,107.84999999999994
Melhor da 4ª execução,105.28999999999996
Média da 4ª execução,106.185
Desvio padrão da 4ª execução,0.5560153905047123
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,11
Melhor individuo da 4ª execução,"[105.28999999999996, [0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0], [103, 154, 98, 144, 18, 22, 86, 37, 38, 152, 50, 149, 68, 84, 113, 46, 145, 97, 60, 91, 108, 117, 141, 47, 72, 111, 114, 81, 162, 54, 75, 41, 11, 106, 78, 150, 136, 105, 74, 146, 100, 89, 127, 107, 147, 51, 59, 126, 90, 129, 87, 119, 83, 95, 69, 64, 44, 118, 157, 153, 94, 58, 57, 161, 135, 110, 4, 9, 112, 138, 73, 24, 71, 10, 39, 40, 80, 12, 85, 27, 102, 43, 63, 160, 1, 139, 6, 120, 17, 134, 96, 143, 125, 156, 116, 124, 53, 62, 28, 130, 67, 48, 76, 122, 142, 123, 148, 158, 159, 155, 70, 61, 33, 99, 65, 66, 42, 25, 14, 16, 3, 151, 109, 8, 26, 137, 32, 34, 132, 101, 23, 115, 52, 93, 2, 55, 15, 19, 36, 128, 20, 79, 92, 49, 131, 164, 5, 56, 35, 13, 121, 104, 77, 133, 7, 45, 21, 31, 88, 82, 30, 163, 140, 29], 7]"
Tempo de execução,12193.64
