Pior da 7ª execução,400.8075000000005
Melhor da 7ª execução,392.54750000000047
Média da 7ª execução,395.6275000000005
Desvio padrão da 7ª execução,1.781385195708149
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,11
Melhor individuo da 7ª execução,"[392.54750000000047, [0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0], [27, 9, 108, 97, 25, 23, 88, 101, 71, 81, 49, 46, 5, 72, 69, 48, 68, 74, 73, 109, 87, 67, 38, 50, 94, 77, 53, 28, 12, 107, 20, 100, 15, 99, 104, 64, 103, 92, 43, 114, 63, 35, 33, 111, 44, 56, 113, 75, 31, 22, 115, 7, 1, 90, 2, 45, 89, 21, 47, 16, 52, 29, 65, 62, 40, 106, 11, 70, 93, 116, 24, 112, 61, 18, 8, 84, 76, 80, 66, 55, 98, 85, 36, 42, 39, 34, 3, 19, 41, 86, 13, 17, 105, 6, 51, 4, 83, 110, 37, 14, 102, 26, 58, 32, 95, 78, 96, 82, 59, 57, 79, 30, 10, 91, 54, 60], 7]"
Tempo de execução,3020.93
