Pior da 8ª execução,28.322500000000012
Melhor da 8ª execução,28.790000000000003
Média da 8ª execução,28.500000000000018
Desvio padrão da 8ª execução,0.10094346602595433
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,5
Melhor individuo da 8ª execução,"[28.322500000000012, [0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1], [16, 13, 3, 10, 17, 9, 14, 6, 22, 36, 26, 23, 21, 34, 31, 12, 38, 19, 28, 42, 25, 8, 27, 2, 40, 4, 1, 33, 5, 39, 7, 15, 30, 29, 20, 43, 41, 35, 11, 37, 18, 32, 24], 7]"
Tempo de execução,23.32
