Pior da 4ª execução,28.32000000000001
Melhor da 4ª execução,28.66500000000001
Média da 4ª execução,28.542500000000004
Desvio padrão da 4ª execução,0.09681414755430336
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,5
Melhor individuo da 4ª execução,"[28.32000000000001, [0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1], [6, 36, 22, 20, 29, 43, 10, 17, 9, 14, 40, 8, 27, 2, 24, 32, 18, 37, 26, 21, 23, 5, 33, 1, 4, 25, 19, 28, 42, 3, 16, 13, 38, 12, 31, 34, 7, 39, 30, 15, 11, 41, 35], 7]"
Tempo de execução,24.72
