Pior da 10ª execução,28.270000000000007
Melhor da 10ª execução,28.675000000000004
Média da 10ª execução,28.435000000000006
Desvio padrão da 10ª execução,0.11278454755269654
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,5
Melhor individuo da 10ª execução,"[28.270000000000007, [0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1], [7, 15, 30, 39, 35, 11, 41, 22, 6, 36, 16, 3, 13, 21, 23, 26, 4, 5, 33, 1, 29, 20, 43, 40, 8, 27, 2, 37, 18, 32, 24, 25, 19, 28, 42, 34, 31, 12, 38, 14, 9, 17, 10], 0]"
Tempo de execução,23.81
