Pior da 4ª execução,442.1425000000002
Melhor da 4ª execução,452.6800000000003
Média da 4ª execução,446.44500000000033
Desvio padrão da 4ª execução,2.490407647354135
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,5
Melhor individuo da 4ª execução,"[442.1425000000002, [0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1], [68, 98, 43, 128, 97, 47, 32, 119, 133, 90, 80, 96, 103, 63, 135, 64, 132, 99, 117, 2, 120, 54, 22, 111, 26, 56, 116, 84, 65, 67, 13, 75, 66, 78, 41, 48, 46, 17, 112, 25, 50, 125, 42, 129, 30, 45, 31, 139, 134, 107, 20, 44, 5, 100, 138, 23, 55, 39, 62, 53, 76, 9, 27, 131, 40, 137, 24, 124, 89, 52, 108, 93, 81, 136, 10, 69, 11, 38, 51, 118, 7, 57, 92, 4, 110, 73, 91, 74, 72, 49, 87, 34, 101, 59, 122, 88, 35, 3, 19, 114, 113, 70, 37, 79, 127, 140, 126, 36, 94, 15, 115, 8, 85, 102, 123, 60, 105, 95, 82, 83, 86, 12, 16, 121, 18, 14, 61, 109, 130, 58, 33, 21, 71, 6, 106, 1, 28, 104, 77, 29], 7]"
Tempo de execução,3371.91
