Pior da 5ª execução,443.3125000000003
Melhor da 5ª execução,451.1400000000003
Média da 5ª execução,445.94750000000016
Desvio padrão da 5ª execução,1.727140701914238
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,11
Melhor individuo da 5ª execução,"[443.3125000000003, [0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0], [20, 107, 134, 139, 3, 35, 88, 19, 28, 104, 77, 29, 71, 6, 106, 1, 82, 83, 86, 115, 8, 85, 102, 123, 60, 105, 95, 114, 113, 70, 37, 79, 127, 140, 126, 36, 94, 15, 11, 69, 10, 136, 81, 32, 119, 97, 47, 112, 17, 46, 48, 41, 78, 66, 75, 138, 100, 5, 44, 27, 9, 76, 53, 62, 39, 55, 23, 133, 90, 80, 96, 103, 63, 135, 64, 132, 99, 117, 2, 33, 21, 12, 16, 121, 18, 14, 61, 109, 130, 58, 68, 128, 43, 98, 108, 131, 40, 137, 24, 124, 89, 52, 42, 125, 50, 25, 31, 45, 30, 129, 13, 120, 54, 22, 111, 26, 56, 116, 84, 65, 67, 93, 92, 57, 7, 118, 51, 38, 87, 34, 101, 59, 122, 4, 110, 73, 91, 74, 72, 49], 7]"
Tempo de execução,6691.88
