Pior da 5ª execução,192.37500000000003
Melhor da 5ª execução,188.99999999999997
Média da 5ª execução,190.5
Desvio padrão da 5ª execução,0.7424479484980457
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,11
Melhor individuo da 5ª execução,"[188.99999999999997, [1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0], [21, 11, 6, 12, 25, 36, 26, 2, 35, 10, 31, 13, 29, 5, 8, 7, 1, 18, 22, 16, 3, 34, 17, 27, 30, 28, 14, 15, 33, 32, 4, 9, 24, 23, 20, 19], 7]"
Tempo de execução,27.39
