Pior da 3ª execução,191.67499999999998
Melhor da 3ª execução,189.375
Média da 3ª execução,190.60000000000002
Desvio padrão da 3ª execução,0.6271417847519143
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,11
Melhor individuo da 3ª execução,"[189.375, [1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0], [25, 36, 26, 2, 35, 10, 31, 13, 6, 12, 21, 11, 19, 20, 23, 24, 28, 14, 15, 30, 4, 9, 33, 32, 17, 34, 3, 27, 1, 16, 22, 18, 7, 29, 5, 8], 7]"
Tempo de execução,25.91
