Pior da 5ª execução,23.632499999999997
Melhor da 5ª execução,24.102500000000006
Média da 5ª execução,23.887499999999996
Desvio padrão da 5ª execução,0.10254374155668246
Quantidade de temporadas,2
Quantidade de time,10
Jogador por time,11
Melhor individuo da 5ª execução,"[23.632499999999997, [0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0], [38, 41, 5, 29, 14, 46, 21, 12, 49, 25, 33, 20, 31, 34, 7, 35, 1, 50, 6, 51, 43, 13, 26, 16, 17, 4, 3, 2, 27, 15, 39, 47, 48, 23, 18, 44, 37, 11, 8, 22, 28, 10, 9, 24, 36, 45, 40, 30, 32, 19, 42], 2]"
Tempo de execução,747.71
