Pior da 3ª execução,24.104999999999997
Melhor da 3ª execução,23.665
Média da 3ª execução,23.87375
Desvio padrão da 3ª execução,0.09653773888584147
Quantidade de temporadas,2
Quantidade de time,10
Jogador por time,11
Melhor individuo da 3ª execução,"[23.665, [1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1], [30, 45, 36, 24, 47, 39, 15, 2, 27, 51, 6, 50, 26, 1, 35, 20, 16, 25, 33, 12, 21, 49, 14, 29, 5, 41, 38, 46, 7, 31, 34, 37, 11, 44, 18, 23, 48, 8, 22, 28, 10, 9, 40, 32, 19, 42, 13, 43, 4, 17, 3], 4]"
Tempo de execução,769.74
