Pior da 2ª execução,23.6225
Melhor da 2ª execução,24.207499999999996
Média da 2ª execução,23.89
Desvio padrão da 2ª execução,0.11997800917489525
Quantidade de temporadas,2
Quantidade de time,10
Jogador por time,11
Melhor individuo da 2ª execução,"[23.6225, [0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0], [49, 12, 21, 46, 38, 41, 5, 29, 14, 25, 33, 20, 7, 34, 31, 35, 1, 50, 26, 13, 42, 17, 16, 19, 32, 45, 40, 30, 37, 11, 44, 18, 23, 8, 22, 10, 28, 48, 47, 39, 15, 27, 51, 6, 43, 4, 3, 2, 36, 24, 9], 3]"
Tempo de execução,760.88
