Pior da 6ª execução,24.145000000000003
Melhor da 6ª execução,23.625
Média da 6ª execução,23.886250000000004
Desvio padrão da 6ª execução,0.10192949052342659
Quantidade de temporadas,2
Quantidade de time,10
Jogador por time,11
Melhor individuo da 6ª execução,"[23.625, [0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0], [10, 22, 28, 8, 11, 37, 44, 18, 23, 48, 39, 47, 9, 24, 45, 30, 40, 32, 19, 17, 4, 13, 26, 42, 16, 25, 20, 33, 12, 49, 29, 5, 41, 38, 14, 46, 21, 34, 31, 7, 35, 1, 50, 6, 43, 51, 27, 15, 2, 36, 3], 3]"
Tempo de execução,746.91
