Pior da 3ª execução,409.0750000000005
Melhor da 3ª execução,415.9675000000003
Média da 3ª execução,413.39000000000016
Desvio padrão da 3ª execução,1.452504711696298
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,5
Melhor individuo da 3ª execução,"[409.0750000000005, [0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0], [12, 75, 103, 52, 142, 72, 139, 32, 37, 74, 90, 69, 102, 130, 6, 62, 4, 120, 38, 100, 87, 128, 111, 101, 80, 56, 71, 61, 133, 138, 131, 14, 84, 141, 127, 109, 36, 17, 114, 118, 13, 60, 40, 107, 78, 10, 64, 30, 104, 65, 22, 50, 29, 27, 1, 82, 93, 115, 46, 57, 94, 129, 85, 89, 137, 124, 96, 135, 134, 92, 11, 79, 110, 9, 98, 99, 121, 35, 47, 119, 42, 20, 147, 105, 49, 97, 144, 59, 77, 31, 143, 39, 33, 125, 81, 21, 51, 28, 15, 91, 8, 68, 95, 145, 73, 136, 117, 70, 3, 23, 18, 132, 26, 25, 7, 19, 108, 43, 66, 83, 53, 76, 16, 112, 63, 58, 24, 126, 122, 34, 55, 116, 48, 41, 45, 2, 113, 106, 88, 44, 5, 140, 67, 86, 123, 146, 54], 7]"
Tempo de execução,3866.45
