Pior da 10ª execução,491.07500000000056
Melhor da 10ª execução,484.1750000000007
Média da 10ª execução,487.57500000000056
Desvio padrão da 10ª execução,1.9989544037654472
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,5
Melhor individuo da 10ª execução,"[484.1750000000007, [1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0], [89, 27, 106, 105, 91, 39, 86, 34, 83, 58, 11, 26, 90, 4, 65, 93, 33, 96, 56, 72, 47, 67, 95, 17, 22, 43, 37, 80, 100, 54, 82, 75, 38, 63, 48, 85, 3, 44, 40, 35, 70, 50, 81, 92, 94, 45, 64, 101, 73, 51, 13, 9, 18, 14, 97, 52, 8, 24, 84, 88, 5, 21, 42, 78, 103, 46, 61, 62, 16, 102, 25, 41, 87, 71, 69, 32, 2, 59, 108, 20, 31, 60, 57, 55, 28, 77, 53, 29, 98, 15, 30, 49, 23, 10, 99, 79, 107, 12, 7, 76, 68, 74, 1, 19, 104, 36, 6, 66], 3]"
Tempo de execução,1084.44
