Pior da 1ª execução,73.1
Melhor da 1ª execução,74.125
Média da 1ª execução,73.5
Desvio padrão da 1ª execução,0.2933570066204898
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,5
Melhor individuo da 1ª execução,"[73.1, [1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0], [10, 2, 3, 9, 12, 16, 6, 7, 8, 14, 1, 5, 13, 11, 4, 15], 7]"
Tempo de execução,0.5
