Pior da 5ª execução,97.6625
Melhor da 5ª execução,99.855
Média da 5ª execução,98.58250000000001
Desvio padrão da 5ª execução,0.4094238766351639
Quantidade de temporadas,2
Quantidade de time,10
Jogador por time,11
Melhor individuo da 5ª execução,"[97.6625, [0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1], [41, 43, 19, 25, 38, 45, 5, 51, 30, 53, 40, 39, 12, 49, 4, 6, 13, 37, 16, 36, 18, 1, 28, 32, 47, 42, 27, 9, 26, 52, 11, 23, 3, 21, 46, 7, 29, 2, 22, 50, 17, 54, 34, 33, 8, 14, 20, 24, 10, 15, 35, 31, 44, 48], 2]"
Tempo de execução,918.64
