Pior da 6ª execução,97.6825
Melhor da 6ª execução,100.16499999999998
Média da 6ª execução,98.74249999999999
Desvio padrão da 6ª execução,0.41988297398584984
Quantidade de temporadas,2
Quantidade de time,10
Jogador por time,11
Melhor individuo da 6ª execução,"[97.6825, [1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1], [41, 19, 43, 29, 2, 22, 50, 35, 15, 10, 4, 6, 49, 7, 3, 21, 46, 34, 33, 8, 17, 54, 53, 30, 51, 39, 40, 12, 16, 37, 13, 36, 52, 26, 23, 11, 47, 42, 27, 9, 32, 18, 1, 28, 38, 25, 5, 45, 31, 44, 48, 14, 20, 24], 3]"
Tempo de execução,914.56
