Pior da 8ª execução,97.74000000000001
Melhor da 8ª execução,99.33250000000001
Média da 8ª execução,98.61125
Desvio padrão da 8ª execução,0.35781675763935006
Quantidade de temporadas,2
Quantidade de time,10
Jogador por time,11
Melhor individuo da 8ª execução,"[97.74000000000001, [1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0], [37, 13, 36, 16, 47, 42, 27, 9, 11, 23, 26, 52, 45, 5, 25, 38, 4, 49, 6, 43, 41, 19, 2, 22, 50, 29, 39, 12, 40, 35, 15, 10, 44, 31, 48, 14, 24, 20, 18, 1, 28, 32, 33, 8, 17, 54, 34, 30, 51, 53, 21, 46, 7, 3], 2]"
Tempo de execução,915.65
