Pior da 6ª execução,189.34999999999997
Melhor da 6ª execução,191.85
Média da 6ª execução,190.35000000000002
Desvio padrão da 6ª execução,0.6863596603336622
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,5
Melhor individuo da 6ª execução,"[189.34999999999997, [0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1], [19, 24, 23, 20, 34, 3, 27, 17, 36, 26, 2, 25, 33, 9, 4, 32, 1, 18, 22, 16, 8, 7, 29, 5, 31, 13, 35, 10, 14, 15, 30, 28, 11, 6, 12, 21], 7]"
Tempo de execução,12.22
