Pior da 7ª execução,189.4
Melhor da 7ª execução,192.80000000000004
Média da 7ª execução,190.5
Desvio padrão da 7ª execução,0.7264253230718298
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,5
Melhor individuo da 7ª execução,"[189.4, [0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0], [23, 24, 19, 20, 25, 2, 26, 36, 21, 12, 6, 11, 3, 34, 17, 27, 30, 15, 14, 28, 9, 4, 1, 18, 22, 16, 7, 29, 5, 8, 13, 35, 10, 31, 32, 33], 7]"
Tempo de execução,12.33
