Pior da 4ª execução,59.5
Melhor da 4ª execução,57.5
Média da 4ª execução,58.0625
Desvio padrão da 4ª execução,0.48706287474338916
Quantidade de temporadas,2
Quantidade de time,10
Jogador por time,11
Melhor individuo da 4ª execução,"[57.5, [1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1], [6, 5, 13, 10, 2, 12, 3, 9, 11, 4, 7, 1, 8], 2]"
Tempo de execução,3.68
