Pior da 10ª execução,451.36500000000046
Melhor da 10ª execução,442.50750000000045
Média da 10ª execução,446.38250000000005
Desvio padrão da 10ª execução,1.7496728433974418
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,11
Melhor individuo da 10ª execução,"[442.50750000000045, [1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0], [112, 75, 66, 78, 41, 48, 46, 17, 68, 98, 43, 128, 31, 25, 50, 125, 42, 129, 30, 45, 90, 133, 2, 117, 99, 132, 64, 135, 63, 103, 96, 80, 70, 37, 79, 127, 140, 126, 36, 94, 15, 114, 113, 10, 136, 81, 93, 92, 57, 7, 118, 51, 38, 11, 69, 73, 91, 74, 72, 49, 87, 34, 101, 59, 122, 4, 110, 77, 104, 28, 1, 106, 6, 105, 60, 123, 102, 85, 8, 115, 86, 83, 82, 95, 14, 18, 121, 16, 12, 21, 33, 58, 130, 109, 61, 71, 29, 88, 35, 3, 19, 24, 137, 40, 131, 108, 52, 89, 124, 119, 32, 47, 97, 107, 20, 139, 134, 53, 62, 39, 55, 23, 138, 100, 5, 44, 27, 9, 76, 65, 84, 116, 56, 26, 111, 22, 54, 120, 13, 67], 7]"
Tempo de execução,6736.37
