Pior da 4ª execução,99.3175
Melhor da 4ª execução,98.28250000000003
Média da 4ª execução,98.74000000000001
Desvio padrão da 4ª execução,0.30872597747301206
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,5
Melhor individuo da 4ª execução,"[98.28250000000003, [1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1], [50, 29, 2, 22, 7, 3, 21, 46, 20, 14, 24, 30, 53, 51, 47, 42, 27, 9, 32, 28, 1, 18, 34, 33, 8, 17, 54, 25, 5, 44, 48, 31, 16, 36, 13, 37, 45, 38, 6, 49, 4, 10, 35, 15, 39, 12, 40, 43, 19, 41, 23, 11, 52, 26], 7]"
Tempo de execução,57.75
