Pior da 1ª execução,97.73749999999998
Melhor da 1ª execução,99.21750000000003
Média da 1ª execução,98.49249999999998
Desvio padrão da 1ª execução,0.3590431438792165
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,5
Melhor individuo da 1ª execução,"[97.73749999999998, [1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1], [45, 38, 25, 5, 44, 31, 48, 14, 24, 20, 2, 29, 50, 22, 9, 27, 42, 47, 30, 53, 51, 7, 3, 21, 46, 39, 12, 40, 4, 6, 49, 28, 1, 18, 32, 16, 37, 13, 36, 11, 52, 26, 23, 10, 35, 15, 54, 34, 33, 8, 17, 19, 43, 41], 0]"
Tempo de execução,57.52
