Pior da 5ª execução,24.045000000000005
Melhor da 5ª execução,23.5975
Média da 5ª execução,23.849999999999998
Desvio padrão da 5ª execução,0.11331997470290332
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,5
Melhor individuo da 5ª execução,"[23.5975, [0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1], [47, 9, 40, 30, 37, 11, 44, 18, 23, 8, 22, 10, 28, 48, 39, 15, 2, 27, 51, 6, 43, 4, 3, 17, 16, 25, 29, 5, 41, 38, 14, 46, 21, 49, 12, 33, 20, 35, 7, 34, 31, 50, 1, 26, 13, 42, 19, 32, 45, 36, 24], 7]"
Tempo de execução,50.24
