Pior da 3ª execução,491.6725000000006
Melhor da 3ª execução,483.6775000000007
Média da 3ª execução,487.8400000000005
Desvio padrão da 3ª execução,2.014055470313557
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,5
Melhor individuo da 3ª execução,"[483.6775000000007, [1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0], [27, 89, 105, 106, 64, 101, 73, 92, 94, 45, 65, 93, 33, 96, 56, 4, 72, 67, 47, 81, 35, 70, 50, 98, 15, 30, 77, 53, 29, 28, 51, 18, 9, 13, 84, 24, 8, 52, 97, 14, 5, 88, 61, 46, 103, 78, 42, 21, 74, 12, 7, 76, 68, 90, 83, 58, 11, 26, 16, 102, 25, 62, 36, 6, 66, 1, 19, 104, 3, 44, 40, 39, 86, 34, 91, 69, 71, 87, 41, 108, 59, 2, 32, 100, 54, 82, 75, 38, 63, 48, 85, 55, 57, 60, 31, 20, 80, 95, 17, 22, 43, 37, 10, 23, 49, 107, 79, 99], 0]"
Tempo de execução,982.22
