Pior da 1ª execução,492.2100000000007
Melhor da 1ª execução,485.82000000000073
Média da 1ª execução,489.01750000000055
Desvio padrão da 1ª execução,1.7614475285495794
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,5
Melhor individuo da 1ª execução,"[485.82000000000073, [1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0], [85, 100, 54, 82, 75, 38, 63, 56, 96, 33, 93, 65, 4, 27, 89, 105, 106, 20, 31, 60, 57, 55, 44, 40, 3, 86, 39, 91, 34, 30, 98, 15, 69, 71, 87, 41, 108, 59, 2, 32, 73, 101, 64, 45, 94, 92, 62, 16, 102, 25, 66, 6, 36, 104, 67, 47, 72, 78, 42, 21, 5, 88, 61, 46, 103, 17, 22, 43, 37, 80, 95, 7, 76, 68, 74, 12, 79, 99, 10, 23, 49, 107, 8, 52, 97, 14, 84, 24, 50, 70, 35, 81, 90, 26, 11, 58, 83, 28, 29, 53, 77, 19, 1, 9, 18, 51, 13, 48], 7]"
Tempo de execução,1034.25
