Pior da 7ª execução,70.9375
Melhor da 7ª execução,71.9525
Média da 7ª execução,71.30749999999999
Desvio padrão da 7ª execução,0.24148227160601246
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,5
Melhor individuo da 7ª execução,"[70.9375, [0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0], [10, 7, 37, 19, 5, 20, 16, 30, 29, 9, 13, 33, 38, 26, 1, 36, 28, 2, 12, 22, 6, 31, 23, 35, 21, 11, 34, 15, 25, 3, 8, 24, 14, 4, 18, 27, 32, 17], 4]"
Tempo de execução,12.42
