Pior da 6ª execução,71.81750000000001
Melhor da 6ª execução,70.58999999999999
Média da 6ª execução,71.05
Desvio padrão da 6ª execução,0.314950161401239
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,5
Melhor individuo da 6ª execução,"[70.58999999999999, [1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1], [1, 16, 24, 15, 34, 30, 8, 25, 3, 27, 18, 4, 14, 6, 35, 31, 23, 36, 5, 7, 20, 38, 13, 33, 26, 17, 32, 9, 29, 10, 37, 19, 12, 22, 21, 11, 2, 28], 7]"
Tempo de execução,12.62
