Pior da 2ª execução,99.64500000000002
Melhor da 2ª execução,97.87999999999998
Média da 2ª execução,98.51000000000003
Desvio padrão da 2ª execução,0.38903484995320836
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,11
Melhor individuo da 2ª execução,"[97.87999999999998, [0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1], [20, 24, 14, 41, 19, 43, 27, 9, 47, 42, 37, 13, 36, 16, 35, 10, 15, 39, 12, 40, 8, 33, 34, 54, 17, 21, 46, 7, 3, 26, 23, 11, 52, 50, 22, 2, 29, 38, 25, 5, 45, 18, 1, 28, 32, 30, 51, 53, 6, 4, 49, 48, 31, 44], 7]"
Tempo de execução,123.25
