Pior da 7ª execução,97.84750000000003
Melhor da 7ª execução,99.475
Média da 7ª execução,98.63249999999998
Desvio padrão da 7ª execução,0.3170930675180611
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,11
Melhor individuo da 7ª execução,"[97.84750000000003, [0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0], [31, 48, 44, 17, 54, 34, 33, 8, 3, 7, 46, 21, 51, 30, 53, 49, 4, 6, 22, 2, 29, 50, 36, 13, 37, 16, 28, 1, 18, 32, 39, 40, 12, 35, 15, 10, 43, 41, 19, 26, 23, 11, 52, 20, 14, 24, 47, 42, 27, 9, 45, 38, 25, 5], 7]"
Tempo de execução,125.46
