Pior da 7ª execução,223.96750000000014
Melhor da 7ª execução,227.9975000000002
Média da 7ª execução,226.02000000000012
Desvio padrão da 7ª execução,0.9383556409605978
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,11
Melhor individuo da 7ª execução,"[223.96750000000014, [1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1], [52, 17, 70, 65, 4, 68, 5, 11, 61, 50, 35, 6, 29, 31, 15, 30, 66, 67, 8, 1, 69, 32, 12, 57, 19, 51, 2, 42, 37, 16, 14, 22, 36, 34, 60, 45, 7, 46, 44, 54, 62, 18, 13, 9, 38, 59, 56, 47, 3, 27, 21, 28, 39, 26, 10, 64, 63, 25, 40, 53, 49, 33, 55, 23, 24, 48, 43, 58, 20, 41], 7]"
Tempo de execução,406.9
