Pior da 3ª execução,230.34000000000012
Melhor da 3ª execução,223.74250000000012
Média da 3ª execução,225.94000000000023
Desvio padrão da 3ª execução,1.2690115721971813
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,11
Melhor individuo da 3ª execução,"[223.74250000000012, [0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1], [64, 63, 25, 40, 53, 49, 33, 10, 15, 30, 66, 67, 8, 1, 69, 32, 6, 29, 31, 3, 27, 56, 47, 11, 5, 68, 4, 65, 70, 17, 52, 35, 50, 61, 51, 19, 57, 12, 34, 36, 22, 14, 16, 37, 42, 2, 38, 9, 13, 18, 62, 54, 44, 46, 7, 45, 60, 59, 21, 28, 39, 26, 48, 24, 23, 55, 41, 20, 58, 43], 7]"
Tempo de execução,399.28
