Pior da 9ª execução,223.8225000000002
Melhor da 9ª execução,228.86000000000007
Média da 9ª execução,225.6850000000002
Desvio padrão da 9ª execução,1.077423706549252
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,11
Melhor individuo da 9ª execução,"[223.8225000000002, [0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1], [64, 63, 25, 40, 53, 49, 33, 10, 39, 26, 21, 28, 20, 58, 43, 48, 24, 23, 55, 41, 42, 37, 16, 14, 22, 36, 34, 12, 57, 19, 51, 2, 54, 62, 18, 13, 9, 38, 59, 60, 45, 7, 46, 44, 56, 47, 3, 27, 52, 17, 70, 65, 4, 68, 5, 11, 61, 50, 35, 29, 6, 32, 69, 1, 8, 67, 66, 30, 15, 31], 7]"
Tempo de execução,409.05
