Pior da 9ª execução,28.785
Melhor da 9ª execução,28.20750000000001
Média da 9ª execução,28.501250000000006
Desvio padrão da 9ª execução,0.1180267724537372
Quantidade de temporadas,2
Quantidade de time,10
Jogador por time,11
Melhor individuo da 9ª execução,"[28.20750000000001, [0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1], [7, 15, 30, 39, 41, 35, 11, 29, 20, 43, 19, 28, 42, 25, 22, 6, 36, 18, 37, 24, 32, 16, 13, 3, 40, 8, 27, 2, 10, 17, 9, 14, 5, 4, 1, 33, 23, 21, 26, 12, 31, 34, 38], 3]"
Tempo de execução,378.87
