Pior da 4ª execução,28.242499999999996
Melhor da 4ª execução,28.8325
Média da 4ª execução,28.541250000000005
Desvio padrão da 4ª execução,0.12328604763429055
Quantidade de temporadas,2
Quantidade de time,10
Jogador por time,11
Melhor individuo da 4ª execução,"[28.242499999999996, [0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0], [15, 30, 39, 7, 24, 32, 18, 37, 10, 17, 9, 14, 22, 36, 6, 20, 43, 29, 33, 1, 4, 5, 19, 25, 42, 28, 41, 35, 11, 8, 40, 2, 27, 26, 23, 21, 38, 12, 31, 34, 13, 3, 16], 2]"
Tempo de execução,370.98
