Pior da 1ª execução,28.302500000000016
Melhor da 1ª execução,28.765000000000008
Média da 1ª execução,28.525000000000006
Desvio padrão da 1ª execução,0.10164445443724388
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,11
Melhor individuo da 1ª execução,"[28.302500000000016, [1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1], [7, 39, 30, 15, 16, 13, 3, 38, 12, 31, 34, 11, 41, 35, 22, 6, 36, 25, 19, 28, 42, 17, 9, 14, 10, 27, 8, 40, 2, 5, 4, 1, 33, 43, 29, 20, 37, 18, 32, 24, 26, 21, 23], 7]"
Tempo de execução,48.76
