Pior da 9ª execução,28.34
Melhor da 9ª execução,28.765000000000004
Média da 9ª execução,28.51
Desvio padrão da 9ª execução,0.09534533194253496
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,11
Melhor individuo da 9ª execução,"[28.34, [0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0], [2, 40, 8, 27, 29, 43, 20, 23, 21, 26, 12, 31, 34, 38, 24, 37, 18, 32, 15, 30, 39, 7, 14, 9, 17, 10, 35, 41, 11, 36, 6, 22, 4, 1, 33, 5, 28, 19, 25, 42, 16, 3, 13], 3]"
Tempo de execução,50.43
