Pior da 7ª execução,28.79500000000001
Melhor da 7ª execução,28.160000000000004
Média da 7ª execução,28.500000000000004
Desvio padrão da 7ª execução,0.12725653456394867
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,11
Melhor individuo da 7ª execução,"[28.160000000000004, [1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1], [7, 39, 30, 15, 11, 41, 35, 3, 16, 13, 12, 31, 34, 38, 2, 27, 8, 40, 17, 10, 14, 9, 6, 36, 22, 26, 21, 23, 42, 25, 19, 28, 43, 20, 29, 4, 5, 33, 1, 37, 18, 32, 24], 7]"
Tempo de execução,50.62
