Pior da 1ª execução,216.0125000000002
Melhor da 1ª execução,222.06250000000014
Média da 1ª execução,217.30750000000015
Desvio padrão da 1ª execução,1.3528309283991573
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,5
Melhor individuo da 1ª execução,"[216.0125000000002, [1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0], [23, 49, 37, 35, 12, 73, 39, 29, 20, 43, 14, 51, 41, 68, 50, 15, 74, 3, 7, 76, 78, 38, 42, 56, 70, 24, 63, 9, 5, 67, 52, 48, 58, 77, 57, 55, 21, 60, 28, 4, 17, 2, 30, 53, 44, 32, 40, 33, 47, 16, 8, 65, 27, 6, 18, 46, 72, 19, 75, 25, 69, 59, 36, 61, 54, 45, 13, 26, 22, 62, 10, 11, 31, 71, 66, 1, 34, 64], 7]"
Tempo de execução,291.48
