Pior da 9ª execução,69.75
Melhor da 9ª execução,71.625
Média da 9ª execução,70.375
Desvio padrão da 9ª execução,0.5523623508772721
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,5
Melhor individuo da 9ª execução,"[69.75, [0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1], [7, 3, 12, 16, 5, 14, 10, 2, 11, 13, 4, 15, 1, 8, 9, 6], 3]"
Tempo de execução,0.47
