Pior da 8ª execução,36.275
Melhor da 8ª execução,37.3
Média da 8ª execução,36.775
Desvio padrão da 8ª execução,0.2613025729153401
Quantidade de temporadas,2
Quantidade de time,10
Jogador por time,11
Melhor individuo da 8ª execução,"[36.275, [0, 0, 1, 1, 1, 0, 0, 1], [8, 2, 3, 5, 1, 4, 6, 7], 4]"
Tempo de execução,0.61
