Pior da 6ª execução,23.687500000000007
Melhor da 6ª execução,24.119999999999997
Média da 6ª execução,23.879999999999995
Desvio padrão da 6ª execução,0.1097333199860069
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,11
Melhor individuo da 6ª execução,"[23.687500000000007, [1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0], [10, 9, 47, 39, 15, 27, 51, 6, 50, 1, 26, 13, 43, 4, 3, 17, 19, 42, 16, 33, 12, 21, 46, 38, 41, 14, 49, 29, 25, 20, 31, 34, 7, 35, 2, 36, 24, 45, 32, 40, 30, 37, 11, 44, 18, 23, 28, 22, 8, 48, 5], 7]"
Tempo de execução,103.12
