Pior da 5ª execução,222.31750000000005
Melhor da 5ª execução,214.71000000000012
Média da 5ª execução,218.14500000000012
Desvio padrão da 5ª execução,1.6615919700696582
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,5
Melhor individuo da 5ª execução,"[214.71000000000012, [0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0], [65, 8, 16, 47, 33, 40, 32, 44, 53, 30, 2, 17, 4, 28, 60, 57, 77, 58, 48, 52, 5, 9, 63, 24, 70, 56, 38, 76, 7, 3, 71, 42, 78, 75, 19, 72, 67, 46, 18, 6, 27, 55, 21, 45, 13, 26, 22, 62, 10, 11, 31, 68, 41, 51, 14, 43, 34, 64, 23, 50, 15, 74, 66, 1, 54, 61, 36, 59, 69, 25, 49, 37, 35, 12, 73, 39, 29, 20], 7]"
Tempo de execução,313.24
