Pior da 1ª execução,36.275
Melhor da 1ª execução,37.3
Média da 1ª execução,36.65
Desvio padrão da 1ª execução,0.2911373262928387
Quantidade de temporadas,1
Quantidade de time,5
Jogador por time,11
Melhor individuo da 1ª execução,"[36.275, [0, 0, 1, 1, 0, 1, 1, 0], [8, 2, 3, 5, 7, 6, 4, 1], 7]"
Tempo de execução,0.09
